Aria | Composer | Opera | Voice | Filename
Assisa a pie d'un salice | Donizetti, Gaetano | Le convenienze ed inconvenienze teatrali | Baritone | Assisa a pie d'un salice.pdf
Lazaroni sfacendati | Donizetti, Gaetano | Le convenienze ed inconvenienze teatrali | Baritone | Lazaroni sfacendati.pdf
Che credete che mia figlia | Donizetti, Gaetano | Le convenienze ed inconvenienze teatrali | Baritone | Che credete che mia figlia.pdf
E puoi goder tiranno! | Donizetti, Gaetano | Le convenienze ed inconvenienze teatrali | Soprano | E puoi goder tiranno!.pdf
Ambo nati in questa valle | Donizetti, Gaetano | Linda di Chamounix | Baritone | Ambo nati in questa valle.pdf
Buona gente | Donizetti, Gaetano | Linda di Chamounix | Check (Marchese) | Buona gente.pdf
Ella è un giglio di puro candore | Donizetti, Gaetano | Linda di Chamounix | Check (Marchese) | Ella è un giglio di puro candore.pdf
Cari luoghi ov'io passai | Donizetti, Gaetano | Linda di Chamounix | Mezzo-soprano | Cari luoghi ov'io passai.pdf
O luce di quest'anima | Donizetti, Gaetano | Linda di Chamounix | Soprano | O luce di quest'anima.pdf
È la voce che primiera | Donizetti, Gaetano | Linda di Chamounix | Tenor | È la voce che primiera.pdf
Se tanto inica agli uomini | Donizetti, Gaetano | Linda di Chamounix | Tenor | Se tanto inica agli uomini.pdf
Cruda, funesta smania | Donizetti, Gaetano | Lucia di Lammermoor | Baritone | Cruda, funesta smania.pdf
La pietade in suo favore | Donizetti, Gaetano | Lucia di Lammermoor | Baritone | La pietade in suo favore.pdf
Ah, cedi, cedi! | Donizetti, Gaetano | Lucia di Lammermoor | Check (Raimondo Bidebent) | Ah, cedi, cedi!.pdf
Dalle stanze, ove Lucia | Donizetti, Gaetano | Lucia di Lammermoor | Check (Raimondo Bidebent) | Dalle stanze, ove Lucia.pdf
Il dolce suono mi colpì di sua voce | Donizetti, Gaetano | Lucia di Lammermoor | Check (Lucia di Lammermoor) | Il dolce suono mi colpì di sua voce.pdf
Quando rapito in estasi | Donizetti, Gaetano | Lucia di Lammermoor | Check (Lucia di Lammermoor) | Quando rapito in estasi.pdf
Regnava nel silenzio | Donizetti, Gaetano | Lucia di Lammermoor | Check (Lucia di Lammermoor) | Regnava nel silenzio.pdf
Spargi d'amaro pianto | Donizetti, Gaetano | Lucia di Lammermoor | Check (Lucia di Lammermoor) | Spargi d'amaro pianto.pdf
Tombe degl'avi miei | Donizetti, Gaetano | Lucia di Lammermoor | Check (Edgardo) | Tombe degl'avi miei.pdf
Tu che a Dio spiegasti l'ali | Donizetti, Gaetano | Lucia di Lammermoor | Check (Edgardo) | Tu che a Dio spiegasti l'ali.pdf
Vieni! la mia vendetta | Donizetti, Gaetano | Lucrezia Borgia | Baritone | Vieni! la mia vendetta.pdf
Il segreto per esser felici | Donizetti, Gaetano | Lucrezia Borgia | Check (Maffio Orsini) | Il segreto per esser felici.pdf
Nella fatal di Rimini | Donizetti, Gaetano | Lucrezia Borgia | Check (Maffio Orsini) | Nella fatal di Rimini.pdf
Com'è bello | Donizetti, Gaetano | Lucrezia Borgia | Check (Lucrezia Borgia) | Com'è bello.pdf
Era desso il figlio mio | Donizetti, Gaetano | Lucrezia Borgia | Check (Lucrezia Borgia) | Era desso il figlio mio.pdf
M'odi, ah m'odi | Donizetti, Gaetano | Lucrezia Borgia | Check (Lucrezia Borgia) | M'odi, ah m'odi.pdf
Di pescatore ignobile | Donizetti, Gaetano | Lucrezia Borgia | Check (Gennaro) | Di pescatore ignobile.pdf
Ah! non avea piu lagrime | Donizetti, Gaetano | Maria de Rudenz | Baritone | Ah! non avea piu lagrime.pdf
Mostro iniquo tremar tu dovevi | Donizetti, Gaetano | Maria de Rudenz | Soprano | Mostro iniquo tremar tu dovevi.pdf
Si, del chiostro penitente | Donizetti, Gaetano | Maria de Rudenz | Soprano | Si, del chiostro penitente.pdf
Talor nel mio delirio | Donizetti, Gaetano | Maria de Rudenz | Baritone | Talor nel mio delirio.pdf
Bella e di sol vestita | Donizetti, Gaetano | Maria di Rohan | Baritone | Bella e di sol vestita.pdf
Gemea di tetro carcere... Se ancor m'è dato stringerti | Donizetti, Gaetano | Maria di Rohan | Baritone | Gemea di tetro carcere... Se ancor m'è dato stringerti.pdf
Per non istare in ozio | Donizetti, Gaetano | Maria di Rohan | Mezzo-soprano | Per non istare in ozio.pdf
Son leggero, è ver, d'amore | Donizetti, Gaetano | Maria di Rohan | Mezzo-soprano | Son leggero, è ver, d'amore.pdf
Benigno il cielo arridere | Donizetti, Gaetano | Maria di Rohan | Soprano | Benigno il cielo arridere.pdf
Cupa fatal mestizia... Ben fu il giorno avventurato | Donizetti, Gaetano | Maria di Rohan | Soprano | Cupa fatal mestizia... Ben fu il giorno avventurato.pdf
Preghiera: Havvi un Dio che in sua clemenza | Donizetti, Gaetano | Maria di Rohan | Soprano | Preghiera Havvi un Dio che in sua clemenza.pdf
Alma soave e cara | Donizetti, Gaetano | Maria di Rohan | Check (Riccardo) | Alma soave e cara.pdf
Quando il cor da lei piagato... A te, divina immagine | Donizetti, Gaetano | Maria di Rohan | Check (Riccardo) | Quando il cor da lei piagato... A te, divina immagine.pdf
Ah! ce fut pour mon coeur | Donizetti, Gaetano | Maria Padilla | Baritone | Ah! ce fut pour mon coeur.pdf
Nos deux ames étaient faites | Donizetti, Gaetano | Maria Padilla | Soprano | Nos deux ames étaient faites.pdf
Je marchais pieux dans la vie | Donizetti, Gaetano | Maria Padilla | Tenor | Je marchais pieux dans la vie.pdf
Ah! quando all'ara sorgemi…Ah dal ciel discenda un raggio | Donizetti, Gaetano | Maria Stuarda | Check (Elisabetta) | Ah! quando all'ara sorgemi…Ah dal ciel discenda un raggio.pdf
Quella vita a me funesta | Donizetti, Gaetano | Maria Stuarda | Check (Elisabetta) | Quella vita a me funesta.pdf
Ah! se un giorno da queste ritorte | Donizetti, Gaetano | Maria Stuarda | Soprano | Ah! se un giorno da queste ritorte.pdf
Di un cor che more | Donizetti, Gaetano | Maria Stuarda | Soprano | Di un cor che more.pdf
Oh nube! che lieve per l'aria ti aggiri...Nella pace del mesto riposo | Donizetti, Gaetano | Maria Stuarda | Soprano | Oh nube! che lieve per l'aria ti aggiri...Nella pace del mesto riposo.pdf
Ah! rimiro il bel sembiante | Donizetti, Gaetano | Maria Stuarda | Check (Leicester) | Ah! rimiro il bel sembiante.pdf
Era anch'io di quella schiero | Donizetti, Gaetano | Marino Faliero | Baritone | Era anch'io di quella schiero.pdf
Odo il suon di chi sprezza i perigli | Donizetti, Gaetano | Marino Faliero | Baritone | Odo il suon di chi sprezza i perigli.pdf
Bello ardir di congiurati... Fosca notte, notte orrenda | Donizetti, Gaetano | Marino Faliero | Bass | Bello ardir di congiurati... Fosca notte, notte orrenda.pdf
Tutto or morte, oh Dio!... Fra due tombe fra due spettri | Donizetti, Gaetano | Marino Faliero | Soprano | Tutto or morte, oh Dio!... Fra due tombe fra due spettri.pdf
Di mia patria o' bel soggiorno... Un solo conforto | Donizetti, Gaetano | Marino Faliero | Tenor | Di mia patria o' bel soggiorno... Un solo conforto.pdf
Io ti veggio, or vegli e tremi... Questa è l'ora | Donizetti, Gaetano | Marino Faliero | Tenor | Io ti veggio, or vegli e tremi... Questa è l'ora.pdf
Bene, bravi | Donizetti, Gaetano | Olivo e Pasquale | Bass | Bene, bravi.pdf
Come vuoi ch'io freni il pianto | Donizetti, Gaetano | Olivo e Pasquale | Soprano | Come vuoi ch'io freni il pianto.pdf
